funzione	header	riga	deprecated	firma
ZwComponentVisibilitySet	zwapi_component.h	209		ZW_API_C ezwErrors ZwComponentVisibilitySet(szwEntityHandle componentHandle, int isVisible);
ZwConfigActivate	zwapi_configtable.h	160		ZW_API_C ezwErrors ZwConfigActivate(szwEntityHandle configHandle);
ZwConfigActiveGet	zwapi_configtable.h	43		ZW_API_C ezwErrors ZwConfigActiveGet(szwEntityHandle *config);
ZwConfigListGet	zwapi_configtable.h	65		ZW_API_C ezwErrors ZwConfigListGet(int *countConfig, szwEntityHandle **configList);
ZwConfigTableRefresh	zwapi_configtable.h	177		ZW_API_C ezwErrors ZwConfigTableRefresh();
ZwConstraintCoincidentAdd	zwapi_assembly_constraint.h	49		ZW_API_C ezwErrors ZwConstraintCoincidentAdd(szwEntityHandle entity1, const szwPoint *point1, szwEntityHandle entity2, const szwPoint *point2, const szwAssemblyConstraintData *constraintData, szwEntityHandle *constraintH
ZwCursorGet	zwapi_point.h	89		ZW_API_C ezwErrors ZwCursorGet(szwPoint *point, szwEntityHandle *viewHandle);
ZwCurveCentroidPointGet	zwapi_curve.h	732		ZW_API_C ezwErrors ZwCurveCentroidPointGet(szwEntityHandle curveHandle, szwPoint *centroidPoint);
ZwCurveChainGet	zwapi_curve.h	329		ZW_API_C ezwErrors ZwCurveChainGet(int seedCount, const szwEntityHandle *seedHandles, ezwCurveChainType type, int *countFound, szwEntityHandle **foundHandle);
ZwCurveClosureCheck	zwapi_curve.h	144		ZW_API_C ezwErrors ZwCurveClosureCheck(int count, const szwEntityHandle *curveHandle, int *closure);
ZwCurveContinuityGet	zwapi_curve.h	432		ZW_API_C ezwErrors ZwCurveContinuityGet(int count, const szwEntityHandle *curveHandles, szwCurveContinuityToleranceList tolerance, int *countContinuity, szwCurveContinuityData **data);
ZwCurveContinuityToleranceListInit	zwapi_curve.h	455		ZW_API_C ezwErrors ZwCurveContinuityToleranceListInit(szwCurveContinuityToleranceList *data);
ZwCurveCurvatureGet	zwapi_curve.h	631		ZW_API_C ezwErrors ZwCurveCurvatureGet(szwEntityHandle curveHandle, double t, szwPoint *point, szwPoint *normal, double *curvature);
ZwCurveCuspsGet	zwapi_curve.h	558		ZW_API_C ezwErrors ZwCurveCuspsGet(szwEntityHandle curveHandle, int *count, double **T, szwPoint **cusps);
ZwCurveDataTransform	zwapi_curve.h	45		ZW_API_C ezwErrors ZwCurveDataTransform(szwMatrix inputMatrix, szwCurve *curve);
ZwCurveDifferentiate	zwapi_curve.h	684		ZW_API_C ezwErrors ZwCurveDifferentiate(szwEntityHandle curveHandle, double t, int level, szwCurveDerivative *evaluate, szwVector *normal);
ZwCurveEndPointGet	zwapi_curve.h	703		ZW_API_C ezwErrors ZwCurveEndPointGet(szwEntityHandle entityHandle, szwPoint *start, szwPoint *end);
ZwCurveExtremePointAndBoundingBoxGet	zwapi_curve.h	594		ZW_API_C ezwErrors ZwCurveExtremePointAndBoundingBoxGet(szwEntityHandle curveHandle, int *count, szwPoint **points, szwBoundingBox *boundingBox);
ZwCurveExtremePointGet	zwapi_curve.h	186		ZW_API_C ezwErrors ZwCurveExtremePointGet(szwEntityHandle curveHandle, szwVector direction, int *isPerpendicular, szwPoint *point);
ZwCurveFree	zwapi_curve.h	806		ZW_API_C ezwErrors ZwCurveFree(szwCurve *curve);
ZwCurveInflectionPointGet	zwapi_curve.h	523		ZW_API_C ezwErrors ZwCurveInflectionPointGet(szwEntityHandle curveHandle, int *count, double **T, szwPoint **inflectPoints);
ZwCurveLengthGet	zwapi_curve.h	215		ZW_API_C ezwErrors ZwCurveLengthGet(szwEntityHandle curveHandle, double *length);
ZwCurveLineCheck	zwapi_curve.h	73		ZW_API_C ezwErrors ZwCurveLineCheck(szwEntityHandle curveHandle, int *isLine);
ZwCurveListGet	zwapi_curve.h	830		ZW_API_C ezwErrors ZwCurveListGet(int *countCurve, szwEntityHandle **curveList);
ZwCurveModifyTypeConvert	zwapi_curve.h	849		ZW_API_C ezwErrors ZwCurveModifyTypeConvert(szwEntityHandle curve);
ZwCurveNURBSDataGet	zwapi_curve.h	788		ZW_API_C ezwErrors ZwCurveNURBSDataGet(szwEntityHandle entityHandle, int nurbs, szwCurve *curve);
ZwCurvePointGetByDistance	zwapi_curve.h	487		ZW_API_C ezwErrors ZwCurvePointGetByDistance(szwEntityHandle curveHandle, double startT, double length, double *T, szwPoint *point);
ZwCurvePointGetByLengthFraction	zwapi_curve.h	109		ZW_API_C ezwErrors ZwCurvePointGetByLengthFraction(szwEntityHandle curveHandle, double fraction, szwPoint *point);
ZwCurveProjectionPointGet	zwapi_curve.h	363		ZW_API_C ezwErrors ZwCurveProjectionPointGet(szwEntityHandle curveHandle, szwPoint point, double *tParameter, szwPoint *projectedPoint);
ZwCurveRadiusRangeGet	zwapi_curve.h	281		ZW_API_C ezwErrors ZwCurveRadiusRangeGet(szwEntityHandle curveHandle, double *minRadius, double *maxRadius, int *isFlat);
ZwCurveSegmentLengthGet	zwapi_curve.h	247		ZW_API_C ezwErrors ZwCurveSegmentLengthGet(szwEntityHandle curveHandle, double startT, double endT, double *length);
ZwCurveTParameterRangeGet	zwapi_curve.h	392		ZW_API_C ezwErrors ZwCurveTParameterRangeGet(szwEntityHandle curveHandle, szwLimit *tLimit);
ZwCurveTessellationPointListGet	zwapi_curve.h	756		ZW_API_C ezwErrors ZwCurveTessellationPointListGet(szwEntityHandle curve, double chordTolerance, double lengthTolerance, int *nPoints, szwPoint **points);
ZwCustomViewGetByName	zwapi_view.h	527		ZW_API_C ezwErrors ZwCustomViewGetByName(const zwString32 viewName, szwEntityHandle *viewHandle);
ZwCustomViewNameGet	zwapi_view.h	462		ZW_API_C ezwErrors ZwCustomViewNameGet(szwEntityHandle viewHandle, int nameLength, char *customViewName);
ZwCustomViewNameSet	zwapi_view.h	497		ZW_API_C ezwErrors ZwCustomViewNameSet(szwEntityHandle viewHandle, const zwString32 viewNewName);
ZwDatumAxisCreateByCenter	zwapi_datum.h	153		ZW_API_C ezwErrors ZwDatumAxisCreateByCenter(szwEntityHandle geometry, int flip, szwEntityHandle *axis);
ZwDatumAxisCreateByCurve	zwapi_datum.h	127		ZW_API_C ezwErrors ZwDatumAxisCreateByCurve(szwEntityHandle curve, double percents, ezwDatumAxisDirectionType type, int flip, szwEntityHandle *axis);
ZwDatumAxisCreateByIntersectedFaces	zwapi_datum.h	99		ZW_API_C ezwErrors ZwDatumAxisCreateByIntersectedFaces(szwEntityHandle face1, szwEntityHandle face2, int flip, szwEntityHandle *axis);
ZwDatumAxisCreateByPointAndDirection	zwapi_datum.h	72		ZW_API_C ezwErrors ZwDatumAxisCreateByPointAndDirection(szwPoint origin, szwVector direction, szwEntityHandle *axis);
ZwDatumAxisCreateByTwoPoints	zwapi_datum.h	47		ZW_API_C ezwErrors ZwDatumAxisCreateByTwoPoints(szwPoint startPoint, szwPoint endPoint, szwEntityHandle *axis);
ZwDatumAxisDirectionGet	zwapi_datum.h	242		ZW_API_C ezwErrors ZwDatumAxisDirectionGet(szwEntityHandle axis, szwPoint *point, szwPoint *direction);
ZwDatumAxisLengthGet	zwapi_datum.h	173		ZW_API_C ezwErrors ZwDatumAxisLengthGet(szwEntityHandle axis, double *length);
ZwDatumAxisLengthSet	zwapi_datum.h	199		ZW_API_C ezwErrors ZwDatumAxisLengthSet(szwEntityHandle axis, double length);
ZwDatumAxisListGet	zwapi_datum.h	221		ZW_API_C ezwErrors ZwDatumAxisListGet(int *count, szwEntityHandle **axisList);
ZwDatumCSYSListGet	zwapi_datum.h	661		ZW_API_C ezwErrors ZwDatumCSYSListGet(int *count, szwEntityHandle **csysList);
ZwDatumPlaneCreateByAngelToFace	zwapi_datum.h	332		ZW_API_C ezwErrors ZwDatumPlaneCreateByAngelToFace(szwEntityHandle face, szwEntityHandle axis, szwPoint origin, double angel, szwEntityHandle *plane);
ZwDatumPlaneCreateByCurve	zwapi_datum.h	359		ZW_API_C ezwErrors ZwDatumPlaneCreateByCurve(szwEntityHandle curve, double percents, ezwDatumPlaneDirectionType type, szwEntityHandle *plane);
ZwDatumPlaneCreateByDynamic	zwapi_datum.h	389		ZW_API_C ezwErrors ZwDatumPlaneCreateByDynamic(szwPoint position, szwVector xAxis, szwVector yAxis, szwVector zAxis, szwEntityHandle *plane);
ZwDatumPlaneCreateByMatrix	zwapi_datum.h	419		ZW_API_C ezwErrors ZwDatumPlaneCreateByMatrix(szwMatrix planeMatrix, szwEntityHandle *plane);
