comando	label_ribbon	form_dialogo	hint	descrizione
!CdPMISymWldEdit	Edit		Edit Weld Texture Symbol	
!CdPartBackup	Record State	CdPartBackup	Record current part state	Record the current part state.  When a "State" feature is inserted in a part&apos;s history, all data generated to that point is saved with the feature.
!CdPartBounding	Bounding	CdPartBounding	Create a bounding box with dimensions	Create a bounding box with dimensions. By default, the size of bounding box equals the part stock.
!CdPartClone	Make Independent Copy		Make independent copy	
!CdPartDel	Erase	CdPartDel	Erase entities generated by history operations	Erase historically-generated entities and historically-inserted entities from the active object&apos;s history. Select part entities and middle-click to erase them.
!CdPartDelAny	Erase	CdPartDelAny	Delete feature or entity	
!CdPartDelEnt2	Delete with Features	CdPartDelEnt2	>Delete with features	Delete an entity by deleting some features or modifying the input of the base feature.
!CdPartDimEdit	Modify Value	CdPartDimEdit	Modify dimension value	
!CdPartEncap	Encapsulate	CdPartEncap	Encapsulate history	Delete the history of the active part and create one feature named StartData that contains a backup of all the geometry that existed at the time this command was executed.
!CdPartEncapUpd	Encapsulate		Encapsulate history	Delete the history of the active part and create one feature named StartData that contains a backup of all the geometry that existed at the time this command was executed.
!CdPartEqnAct	Edit	CdPartEqnAct	Edit equation set	
!CdPartEqnNew	Equation Set	CdPartEqnNew	Insert a new equation set	
!CdPartFixBrep	Recover Faces	CdPartFixBrep	Recover faces from part	It does not heal face geometry/topology. It will ATTEMPT to recover face information stored in a part database if the database was corrupted to the point that ZW3D was unable to traverse it using standard functionality.
!CdPartIferChk	Part Interference Check		Part interference check	Interference check between the shapes of current part
!CdPartManage	Manage File Network	CdPartManage	Manage part/assembly file network	ZW3D PDM is a Product Data Management solution built right into ZW3D. With ZW3D PDM you can manage your part models, drawings, CAM process plans and other non-geometric documents such as word processor, database and spreadsheet files.
!CdPartModDim	Modify Feature Dim	CdPartModDim	Modify dimension value	
!CdPartPickSet	Pick Set	CdPartPickSet	Define a pick set	Create a pick set from the selected entities.
!CdPartPubSet	Publish Set	CdPartPubSet	Define a publish set	Create a publish set from the selected entities.
!CdPartRef	Reference	CdPartRef	Reference external assembly geometry into the active part	
!CdPartRefCurve	Reference Curve	CdPartRefCurve		
!CdPartRefFace	Reference Face	CdPartRefFace		
!CdPartRefPln	Reference Plane	CdPartRefPln		
!CdPartRefPlnCh	Insert Reference Plane	CdPartRefPln	Reference plane	
!CdPartRefPnt	Reference Point	CdPartRefPnt		
!CdPartRefShape	Reference Shape	CdPartRefShape		
!CdPartRestore	Next State	CdPartRestore	Restore part state	
!CdPartVarEdit	Edit	UiVar	Edit Variable	
!CdPartialLoad	Partially Loading	CdPartialLoad	Partially load assembly file	
!CdPlane	Datum Plane	CdPlane	Datum plane	Insert a new datum plane. Datums are used to establish a plane of reference.
!CdPlaneChld	Insert Datum Plane	CdPlaneChld	Datum plane	
!CdPlayContTo	Continue To	CdPlayContTo	Replay history to specified feature	
!CdPlistCrv	Curve List	CdPlistCrv	Define a curve list	Create a curve list from a group of curves or edges connected end to end. This allows multiple curves to be combined into a single selection for use during surface creation commands.
!CdPlistCrv1	Insert Curve List	CdPlistCrv1	Define a curve list	
!CdPlistCrv2	Insert Curve List	CdPlistCrv2	Define a curve list	
!CdPlistCrv4	Insert Curve List	CdPlistCrv4	Define a curve list	
!CdPlnAll	Datum Plane	CdPlnAll	Datum Plane	Insert a new datum plane. Datums are used to establish a plane of reference.
!CdPlnAll3DPrf	Datum Plane	CdPlnAll3DPrf	Datum Plane	Insert a new datum plane. Datums are used to establish a plane of reference.
!CdPlnAllChld	Insert Datum Plane	CdPlnAllChld	Datum plane	
!CdPlnHiAnalz	Height Analysis		Height Analysis	
!CdPlnSection	Planar Section	CdPlnSection	Create planar section feature	Select a reference plane (F) to section from and specify the offset distance (S) from the reference plane to dynamically section the active part or assembly. It will create section curves and view features that might normally be hidden from view.
!CdPnt2Dir	Two Points	CdPnt2Dir	Direction between two points	
!CdPnt2Ln2Dst	From 2 Lines	CdPnt2Ln2Dst	Point located at specified distances from two lines	
!CdPntAlong	Along	CdPntAlong	Point located along continuous curves	
!CdPntAng	Angle	CdPntAng	Point located at angle along a curve	
!CdPntBetAlng	Between Cv Points	CdPntBetAlng	Point located between two points along a curve	
!CdPntBetween	Between	CdPntBetween	Point located between two points	
!CdPntCLine	Center Line	CdPntCLine	Get center line of a face	
!CdPntCci	Intersection	CdPntCci	Point located at intersection of two curves	
!CdPntCenter	Center of Curvature	CdPntCenter	Point at center of curvature	
!CdPntCrvNrm	Curve Normal	CdPntCrvNrm	Direction along curve normal	
!CdPntCrvTan	Curve Tangent	CdPntCrvTan	Direction along curve tangent	
!CdPntCsi	Cv-Sf Intersection	CdPntCsi	Point located at intersection of a curve and a surface	
!CdPntDir	Plane Axis	CdPntDir	Direction along plane axis	
!CdPntFaceCtrd	Face Centroid	CdPntFaceCtrd	Point at face centroid	
!CdPntFromFile	From file	CdPntFromFile	Get points from a file	
!CdPntFromPnts	From Points	CdPntFromPnts	Select point from existent points	
!CdPntMid	Middle	CdPntMid	Curve midpoint	
!CdPntOffDist	Offset Distance	CdPntOffDist	Point along a direction	
!CdPntOffset	Offset	CdPntOffset	Point specified relative to a reference point	
!CdPntOffsetII	Offset	CdPntOffsetII	Point specified relative to a reference point	
!CdPntOnCrv	On Curve	CdPntOnCrv	Direction along point on curve	
!CdPntOnFaceUV	Point on Surface	CdPntOnFaceUV	Point on surface with uv parameter	
!CdPntPeak	Peak Point	CdPntPeak	Peak point on curve	
!CdPntPickPnt	Pick Point	CdPntPickPnt	Pick Point	
!CdPntProjCci	Projected Cv-Cv Intersection	CdPntProjCci	Point at intersection of two projected curves on plane	
!CdPntProjSrf	Project to Cv or Sf	CdPntProjSrf	Project point	
!CdPntQuadrant	Quadrant of Curvature	CdPntQuadrant	Point at quadrant of curvature	
!CdPntVecSfInt	Face-Vector	CdPntVecSfInt	Intersect vector with a face	
!CdPntsProjSrf	Project	CdPntsProjSrf	Project points	Project one or more points (P) onto one or more curves or faces (E). Each point will be projected normal to the curve or face.
!CdPrf3Del	Erase Entities	CdPrf3Del	Erase 3D Sketch Entities	
!CdPrf3New	3D Sketch	CdPrf3New	Create new 3d sketch	
!CdPrf3Ref	Reference	CdPrf3Ref	Reference Geometry	
!CdPrf3RefCvt	Unlink Reference	CdPrf3RefCvt	Unlink reference geometry	Convert external reference geometry to normal geometry. The external reference geometry is disassociated from the object from which it was derived. Its display attributes are changed to the current line attributes.
!CdPrfAutoUpt	Automatic Update		Automatic Update	
!CdPrfBkg	Background	CdPrfBkg	Use image for sketch background	Set an image as the background for a sketch. The bottom left corner of the image is located at the sketch 0,0 origin. You must also specify the width of the image.
!CdPrfDmBatch	Dimension Editor	CdPrfDmBatch	Modify value in batch	Modify a sketch dimension value. The new value will automatically drive the sketch geometry it defines. After exiting the sketch use the Regenerate Current Part command to regenerate the active part.
!CdPrfEditWeakDm	Edit Weak Dimension	CdPrfEditWeakDm	Convert or delete weak dimension by batch.	
!CdPrfEqn	Equations	CdPrfEqn	Edit equation set	You can test the results of the equation set on the active part by picking Apply.
!CdPrfModDim	Modify Value	CdPrfModDim	Modify dimension value	Modify a sketch dimension value. The new value will automatically drive the sketch geometry it defines. After exiting the sketch use the Regenerate Current Part command to regenerate the active part.
!CdPrfModDimNo	Modify Value	CdPrfModDimNo	Modify a sketch dimension value	
!CdPrfModPtnNum1	Pattern Number	CdPrfModPtnNum1	Pattern number	
!CdPrfModPtnNum2	Pattern Number 2	CdPrfModPtnNum2	Pattern number 2	
!CdPrfModPtnNum3	Pattern Number 2D	CdPrfModPtnNum3	Pattern number 2D	
!CdPrfRdText	ReadySketch Text	CdPrfRdText	Insert ReadySketch text	Create exploded text that is horizontal or follows along a curve.  For example, the sketch containing this text can be wrapped onto a planar or non-planar part face and then used to create an inlay or embossed feature.
!CdPrfRefCvt	Unlink Reference	CdPrfRefCvt	Unlink reference geometry	Convert external reference geometry to normal geometry. The external reference geometry is disassociated from the object from which it was derived. Its display attributes are changed to the current line attributes.
!CdPrfRefGeo	Reference	CdPrfRefGeo	Reference geometry	
!CdPrfRefGeo3	Reference	CdPrfRefGeo3	Reference geometry	
!CdPrfShowGap	Curve Connectivity	CdPrfShowGap	Show connectivity information of curves	It can be used to check for gaps along the intended boundary curves. Triangle - Occurs at endpoints which are over matched, that is more than two curves meet at that endpoint. Square - Occurs at endpoints which are under matched. Then you need to fix it by adding a filler curve, or extending and trimming.
!CdPrfTblAtSet	Attributes	CdPrfTblAtSet	Edit table attributes	
!CdPrjArea	Projection Area	CdPrjArea	Inquire projection area	Inquire projection area.
!CdPrjFtrSilh	Silhouette Curves	CdPrjFtrSilh	Silhouette Curves	Silhouette Curves.
!CdProfDel	Erase Entities	CdProfDel	Erase Sketch Entities	
!CdProfEdit	Edit Sketch		Edit Sketch	
!CdProfNew	Sketch	CdProfNew	Create new sketch	
!CdPrtSketchData	Print Sketch Data	CdPrtSketchData	Print sketch data	
!CdPtAtEntSet	Attributes	CdPtAtEntSet	Edit point attributes	
!CdPtFcNrmOffst	Face Normal Direction Offset	CdPtFcNrmOffst	Offset barycenter of selected points in s face normal direction	
!CdPtImport	From File	CdPtImport	Import points from a file	Import points from an ASCII file. The point file is imported based on the default part units. Use the Part Settings Form to modify the part units if desired before importing the point file.
!CdPtPop	Point	CdPtPop	Points by pop-up option	Create points at selected locations.
!CdPtToBlock	Group	CdPtToBlock	Create a point block object from a set of points	Group a set of points or point blocks into a new point block.Optionally, the input points or point blocks may be deleted after the point block is created.
!CdQuickDispEdit	Quick Display Edit	CdQuickDispEdit	Set entity attributes	Set attribute of specific entities which include face, curve, point and so on. You can also set layer for entities in this command.
!CdRdTextModStr	Change Ready Sketch Text String	CdRdTextModStr	Modify ready sketch text string	Select the ready sketch text string to modify and then enter the new text or right-click and select Editor to use the Text and Dimension Editor.
!CdRecreatePmi	Recreate PMI		Recreate PMI	Recreate PMI
!CdRefAxisType	Toggle External/Internal	CdRefAxisType	Toggle external/internal	Change 2D reference axis to external/internal type.
!CdRefitEdgCrv	Refit Edge	CdRefitEdgCrv	Refit an edge curve to tolerance	Refit edge curves to within a specified tolerance to make them smoother and more compact. Select the edges to refit or middle-click for all edges.
!CdReflectAnalz	Reflection Analyze	CdReflectAnalz	Reflection analysis of one or more faces	
!CdRegenFacets	Refine Facets	CdRegenFacets	Refine faces based on current view extent	When the Shaded Display mode is active, facets  are generated and stored with the faces of each visible object.  When this command is executed, faces whose facets are "out-of-tolerance" relative to the active view extent are refacetted.
!CdRenamePrtCfg	Rename		Rename Config	
!CdReplace	Replace Entity	CdReplace	Replace one entity with another	Replace one sketch entity with another. The entity being replaced along with any associated constraints are deleted. First select the entity to replace. Then select the replacement entity.
!CdResetComp	Reset	CdResetComp	Reset component display	
!CdResizeLock	Lock resize PMI		Lock resize PMI.	
!CdRevSymCrt	Revision Symbol	CdRevSymCrt	Create revision symbol	Create revision symbol.
!CdRevTblCrt	Revision Table	CdRevTblCrt	Create revision table	Create revision table.
!CdRootCmd	ZW3D Manager...	CdRootCmd		
!CdRootCopy	Copy to File	CdRootCopy	Copy a root object	
!CdRootCopy2	Copy to Clipboard	CdRootCopy2	Copy root objects to clipboard	
!CdRootCut	Cut to Clipboard	CdRootCut	Cut root objects to clipboard	
!CdRootDel	Delete	CdRootDel	Delete objects	Erase historically-generated entities and historically-inserted entities from the active object&apos;s history. Select part entities and middle-click to erase them.
!CdRootEdit	Edit	CdRootEdit	Activate an object for editing	
!CdRootInq	Inquire	CdRootInq	Inquire object	
!CdRootMove	Move to File	CdRootMove	Move a root object	
!CdRootPartAt	Attribute	CdRootPartAt	Show part attributes	
!CdRootPaste	Paste from Clipboard	CdRootPaste	Paste root objects from clipboard	
!CdRootRederive	Rederive	CdRootRederive	Rederive derived parts	
!CdRootRegen	Regen	CdRootRegen	Force regeneration of root objects	
!CdRootRelaCopy	Related copy	CdRootRelaCopy	Copy root objects and related objects to clipboard	
!CdRootRelaCut	Related cut to Clipboard	CdRootRelaCut	Cut root objects and related objects to clipboard	
!CdRootRename2	Rename	CdRootRename2	Rename a root object	
!CdRootSeparate	Separate	CdRootSeparate	Separate objects to file	
!CdRoughExpand	Rough Expand	CdRoughExpand	Expand STL surfaces with input distance.	Expand STL surfaces with input distance.
!CdScale3D	Scale	CdScale3D	Scale entities	
!CdSdCheck	Checker board	CdSdCheck	Assign checkerboard texture to faces	Apply a pre-defined checkerboard texture to one or more faces.
!CdSdChrome	Chrome	CdSdChrome	Assign chrome texture to faces	Apply a pre-defined chrome texture to one or more faces.
!CdSdGranite	Granite	CdSdGranite	Assign granite texture to faces	Apply a pre-defined granite texture to one or more faces.
!CdSdMarble	Marble	CdSdMarble	Assign marble texture to faces	Apply a pre-defined marble texture to one or more faces.
!CdSdWood	Wood	CdSdWood	Assign wood texture to faces	Apply a pre-defined wood texture to one or more faces.
!CdSectionAlz	Section Curvature	CdSectionAlz	Section Curvature Info	Create plane section curves in the active part, and show the curvature of those section curves.
!CdSetExtCmp	Make Independent	CdSetExtCmp	Make the virtual part to be external	
!CdSetPocket	Set Pocket	CdSetPocket	Set the pocket state for the shapes	
!CdSewEdgGap	Sew Edge&apos;s Gap	CdSewEdgGap	Extend faces to sew the gap between edges	Attempt to sew a gap that exists between two sets of face edges (E1)(E2).
!CdSf2Pln	Analyze Plane	CdSf2Pln	Replace with planes	If an untrimmed surface is not planar but the trimmed surface is, then you can modify the untrimmed surface to a planar surface with this command.
!CdSfAtEntSet	Attributes	CdSfAtEntSet	Edit face attributes	
!CdSfCpDraw	Control Polygon	CdSfCpDraw	Draw control net of faces	Display the control net of a face.
!CdSfFair	Smooth Face	CdSfFair	Smooth face	Smooth selected control points of a face. Smoothing refers to the process of shape editing to remove unwanted imperfections in a curve or face.
!CdSfFitBnd	FEM Patch	CdSfFitBnd	Create a trimmed face fitting boundary curves	Fit a single face through a set of points on boundary curves (P). A surface is directly fitted through a collection of points on the boundary curves, then trimmed along the boundary.
!CdSfFitBnd2	Fit Face	CdSfFitBnd2	Create a trimmed face fitting a set of points and boundaries	Input points (P) the face must pass through and the set of boundary curves (C) used to trim the face.
!CdSfFitSctDat	Surface from Pts	CdSfFitSctDat	Create an untrimmed face fitting a set of points	Create an untrimmed face that passes through a set of points referred to as a point cloud. The only required input are the points the face must pass through.
!CdSfInqKrv	Surface Curvature	CdSfInqKrv	Surface curvature at a point	Inquire about the curvature of a face where it passes through a specified point.  By default, the point lies on the face.  You can use the Face option to select a different face to analyze.  By default, a direction that is normal to the face through the specified point is used to "slice" the face for curvature analysis.
!CdSfMod	Modify Ctrl Pts	CdSfMod	Activate a face for local modification	Move one or more control points of a face.  If only one control point is selected, it is used as the reference point for the move.  Otherwise, the barycenter of all the picked control points is used.
!CdSfNumIso	Modify Isoline Num	CdSfNumIso	Change number of isolines displayed for a face	Set the number of isolines displayed in the U and V directions of a face.
!CdSfPick	Modify Ctrl Pts	CdSfPick	Activate a face for local modification	Move one or more control points of a face.  If only one control point is selected, it is used as the reference point for the move.  Otherwise, the barycenter of all the picked control points is used.
!CdSfReduce	Reduce Data	CdSfReduce	Reduce number of control points	Remove many surface imperfections by reducing the total number of control points and thus eliminating offending points. This command works well with IGES data imported from other CAD systems.
!CdSfRefit	Refit Surface	CdSfRefit	Refit surface	Refit a face (i.e., modify the degrees of freedom).  This command modifies the base surface of the selected face.  The U and V parameter directions are displayed on the face.
!CdSfSmooth	Smooth via FEM	CdSfSmooth	Smooth faces via FEM refit	Smooth one or more NURBS surfaces.  This command makes use of the Finite Element Method (FEM).
!CdSfUvSwap	Reverse UV Param Spaces	CdSfUvSwap	Reverse U and V parameter spaces	This command will reverse the U and V parameter space of selected faces.
!CdShMagAtEntSet	Attributes	CdShMagAtEntSet	Edit magnetic line attributes	
!CdShadeComp	Shade	CdShadeComp	Shade component	
!CdShapeNames	Shape Names	CdShapeNames	Set Shape attributes	
!CdShapeSew	Sew	CdShapeSew	Sew shape	Create a new feature by sewing faces (or connecting edges) into a single closed solid. The edge boundaries of the faces must coincide to be sewn (i.e., no free edge gaps greater than the sewn tolerance).
!CdSheetEdit	Edit	CdSheetEdit	Activate sheet for editing	
!CdSheetInst	Existing Sheet	CdSheetInst	Instance sheet from drawing packet	
!CdShellExt	Extend Shape	CdShellExt	Extend shape	Extend the face edges of a shape.  You can extend one or sereval edges of the shape.
!CdShowAllDim	Show All Dimension	CdShowAllDim	Show all dimensions	
!CdShowAllPrf	Show All Sketches	CdShowAllPrf	Show all sketches	
!CdShowAllSub	Show All Components	CdShowAllSub	Show all components	
!CdShpCnsMove	Align Move	CdShpCnsMove	Move shapes with alignment	
!CdShpCnsesMv	Align Move	CdShpCnsesMv	Move shapes with alignment	
!CdShtAsc	Ascending by Name	CdShtAsc	Ascending by name	
!CdShtDel	Erase	CdShtDel	Erase entities	
!CdShtDes	Descending by Name	CdShtDes	Descending by name	
!CdShtLnAtEntSet	Attributes	CdShtLnAtEntSet	Edit line attributes	
!CdShtMgrScroll	Scroll to Tree			
!CdShtProf	Sketch	CdShtProf	Create a sketch	Create a sketch
!CdShtPtAtEntSet	Attributes	CdShtPtAtEntSet	Edit point attributes	
!CdShtTextCrt	Text	CdShtTextCrt	Create text	
!CdShtTxtAtSet	Attributes	CdShtTxtAtSet	Edit text attributes	
!CdSimplify	Simplify	CdSimplify	Remove faces and close the gaps	Simplify a part by removing selected faces.
!CdSimplifyEdg	Close Gaps	CdSimplifyEdg	Simplify - Close Gaps	It is designed mainly to handle imported geometry to attempt to sew gaps that exist between shared face edges.
!CdSketchEdit	Edit Sketch	CdSketchEdit	Edit a Sketch	
!CdSketchRegen	Regen	CdSketchRegen	Regen Sketch	
!CdSketchShow	Show	CdSketchShow	Toggle the display of all dimensions	
!CdSmartFastener	Smart Fastener	CdSmartFastener	Insert fasteners	
!CdSmdAddBend	Mark Bend	CdSmdAddBend	Mark faces as sheet metal bends	A key characteristic of sheet metal parts are its bend faces.  In order to perform fold and unfold a sheet metal part commands any bend radii (other than those created during the Create Full and Partial Sheet Metal Flange commands) need to be marked.
!CdSmdAddBend2	Mark Bend	CdSmdAddBend2	Mark faces as sheet metal bends	A key characteristic of sheet metal parts are its bend faces.  In order to perform fold and unfold a sheet metal part commands any bend radii (other than those created during the Create Full and Partial Sheet Metal Flange commands) need to be marked.
!CdSmdAttrib	Sheet Metal Attributes	CdSmdAttrib	Set/modify sheet metal attributes	
!CdSmdBendEdit	Change Bend	CdSmdBendEdit	Change bend	Change the bend radius of a full face and partial face sheet metal angle or a bend marked using the Mark Sheet Metal Bend command. You can change one or more bend radii at a time or middle-click to change all bend radii in all shapes in the active sheet metal part.
!CdSmdBendRad	Change Bend Radius	CdSmdBendRad	Change bend radius	Change the bend radius of a full face and partial face sheet metal angle or a bend marked using the Mark Sheet Metal Bend command. You can change one or more bend radii at a time or middle-click to change all bend radii in all shapes in the active sheet metal part.
!CdSmdBendTaper	Bend Taper	CdSmdBendTaper	Bend Taper	Choose one bend face and taper the bend.
!CdSmdCnvt	Convert to sheet metal	CdSmdCnvt	Convert to sheet metal.	Convert a shape to sheet metal.
!CdSmdComFlng	Flange	CdSmdComFlng	Add flange	Select an edge (E) chain to add flange
!CdSmdCut	Rip	CdSmdCut	Rip a sheet metal part.	Create a gap in a sheet metal part.
!CdSmdCut2	Rip	CdSmdCut2	Rip a sheet metal part.	Create a gap in a sheet metal part.
!CdSmdDrawBend	Fold by Line	CdSmdDrawBend	Create Bend Along a Line	
!CdSmdDrawFlng	Flange with Profile	CdSmdDrawFlng	Add a flange with a defined profile	Select a linear edge (E) to add an flange whose profile can be modified as desired.
!CdSmdExtFlange	Extrude Flange	CdSmdExtFlange	Extrude flange	Input a open profile or close profile, it will offset with the thick and add the bend, then extrude to flange.
!CdSmdExtTab	Extrude Tab	CdSmdExtTab	Extrude base tab.	Extrude a close profile to be a base shape. If there are any other shape, it can merge with it.
!CdSmdFlangeAng	Change Bend Angle	CdSmdFlangeAng	Change bend angle	Select the bend face or middle-click to select all bend faces in all shapes in the active part and then enter a new bend angle.  You can select the inner or outer bend face.
!CdSmdFlat	Flatten	CdSmdFlat	Flatten sheet metal solid	Create flat solid or flat pattern for sheet metal solid.
!CdSmdFlatItmExp	Export Flat Item		Export flat item	Export flat item
!CdSmdFlatPtnExp	Export DWG/DXF		Export DWG/DXF	Export DWG/DXF
!CdSmdFlatUpd	Regen Flat		Regen sheet metal flat item	
!CdSmdFlng	Partial Flange	CdSmdFlng	Add flange	Select the inner edge (E) and the position to add partial flange
!CdSmdFlng1	Full Flange	CdSmdFlng1	Add a full face flange	Select the inner edge (E) to add an edge flange
!CdSmdFlngExtend	Extend Flange	CdSmdFlngExtend	Extend the flange	Choose one line edge on the flange and extend the flange.
!CdSmdFold	Fold	CdSmdFold	Fold sheet metal solid	Fold axial bends in a 3D sheet metal part after it has been unfolded with the Unfold Sheet Metal Part command. The part is resized to accommodate the expansion characteristics of the bent sheet metal and any notches, holes, planar cutouts, or cutouts across bends.
!CdSmdHem	Hem Flange	CdSmdHem	Add hem flanges	
!CdSmdIferChk	Flange Interference	CdSmdIferChk	Flange interference	Flange interference
!CdSmdJog	Jog	CdSmdJog	Jog sheet metal	Fold along a straight line. Create two bends.
!CdSmdLftdFlng	Lofted Flange	CdSmdLftdFlng	Add a lofted flange	
!CdSmdLftdFlng2	Lofted Flange	CdSmdLftdFlng2	Add a lofted flange	
!CdSmdLnUnfold	Linear Unfold	CdSmdLnUnfold	Linear unfold sheet metal solid	
!CdSmdPartFlng	Partial Flange	CdSmdPartFlng	Add a partial face flange	Select the inner edge (E) and the position to add partial flange
!CdSmdRip	Sketched Rip	CdSmdRip	Rip a sheet metal part	Create a gap in a sheet metal part.
!CdSmdRlveFlange	Revolve Flange	CdSmdRlveFlange	Revolve flange	Input a open profile or close profile, it will offset with the thick and add the bend, then revolve to flange.
!CdSmdSwpFlg	Swept Flange	CdSmdSwpFlg	sweep flange with a profile	
!CdSmdTwist	Twist Flange	CdSmdTwist	Twist flange	Choose an edge and input the twist angle and flange length, and then generate a twist flange.
!CdSmdUnFold	Unfold	CdSmdUnFold	Unfold sheet metal solid	Unfold axial bends in a 3D sheet metal part. The part is sized to accommodate the expansion characteristics of the bent sheet metal and any notches, holes, planar cutouts, or cutouts across bends.
!CdSmtFocus	Focus	CdSmtFocus	Specify focus entity	
!CdSmtMsr	Measure	CdSmtMsr	Measure entities	
!CdSolidExt	Extend Shape	CdSolidExt	Extend shape	Extend the face edges of a shape.  You can extend one or sereval edges of the shape.
!CdSplitBlock	Split	CdSplitBlock	Split point blocks with planes	First select the point block (B) then select a plane (C).  Any number of point block objects may be split simultaneously via any combination of datum planes, planar faces, and  sketches.
!CdSplitStlFile	Split STL File	CdSplitStlFile	Split a STL file into multiple files	Split a standard STL data file into several smaller files by cutting equal thickness slices from the original STL data and saving them in separate files.  This will help load very large STL files into ZW3D.
!CdSpurGear	Spur Gear	CdSpurGear	Create spur gear	Create spur gear by specified parameters.
!CdSrfAnalz2	Analyze Faces	CdSrfAnalz2	Analysis of one or more faces	Analyze faces for surface imperfections, draft angles, curvature, and other surface characteristics. The analysis results are presented in a variety of plots superimposed on the active part.
!CdSrfAngSrf2	Face at Angle	CdSrfAngSrf2	Create faces along curves at angle to face	Select the face (F) and the curve (C) to project. Specify the distance (S) that the new face should extend. Specify the angle (A) of the new face relative to the selected faces.  An angle of 0 (zero) will result in a face that is normal to the selected faces (i.e., perpendicular). An angle of +/-90 will result in a face that is tangent to the selected faces.
!CdSubSetRegen	Enable/Disable sub-feature regen	CdSubSetRegen	Enable/Disable sub-feature regen	Regenerate the active part history re-evaluating each feature.
!CdSurfExt	Extend Surface	CdSurfExt	Extend base surface of a face	Extend the base surface (underlying geometry) of a face. The trim boundaries of the face are not affected. Use the Extend a Face command to extend the trim boundary of a face.
!CdSwapVis	Swap Entity Visibility	CdSwapVis	Swap visibility of all entities	
!CdSwitchPrtCfg	Activate		Activate the Config	
!CdSymBeadCrt	Caterpillar		Create weld bead symbol.	
!CdSymBeadMod	Edit		Modify weld bead symbol.	
!CdSymEndTrtCrt	End Treatment		Create end treatment.	
!CdSymEndTrtMod	Edit		Modify end treatment.	
!CdSymImgCrt	Image	CdSymImgCrt	Create an image symbol or background	Insert an image symbol or background into the active target. It can be any image file.
!CdSymImgMod	Edit	CdSymImgMod	Edit Image Symbol	
!CdSymInsert	Insert Block	CdSymInsert	Insert a symbol	Insert a geometry symbol from the active symbol library.
!CdSymInsertMod	Reset		Reset block symbol	
!CdSymLibAdd	Add Block	CdSymLibAdd	Create/replace a symbol	Save a group of entities to the active symbol library. You can select part of or the entire drawing sheet, assign it a name, an insertion point, and save it for later use.
!CdSymLinkExport	Export File		Export File	
!CdSymLinkMod	Edit		Edit OpenLink Symbol	
!CdSymMarkCrt	Hole Mark	CdSymMarkCrt	Create a circular symbol to mark a hole	Insert different kind of circular symbols into the active target to mark different holes.
!CdSymOrgAtSet	Attributes	CdSymOrgAtSet	Edit origin symbol attributes	
!CdSymOriginMove	Move	CdSymOriginMove	Move origin symbol	
!CdSymSrfCrt	Surface Finish	CdSymSrfCrt	Create a Surface symbol	Create surface texture symbols and place them on your drawing sheet. The symbol can rest on an entity such as a line or be extended with a leader terminator.
!CdSymSrfMod	Edit	CdSymSrfMod	Edit Surface Texture Symbol	
!CdSymWeldCrt	Weld	CdSymWeldCrt	Create weld symbol	Select a point (P1) on the geometry where the symbol leader is attached. Then select a point (P2) to locate the weld symbol.
!CdSymWeldMod	Edit	CdSymWeldMod	Edit Weld Symbol	
!CdTMap	Texture Map	CdTMap	Map texture image onto face	Use any external texture map file and apply it to a part. First select the projection method. Then specify the image map file and the origin.
!CdTMapDel	Erase Texture	CdTMapDel	Erase texture image mapped from face	Remove a texture map previously assigned to a face using the Apply Texture Map File command.
!CdTMapEdit	Edit Texture	CdTMapEdit	Edit texture assigned to face	Edit texture previously assigned to the face using the Texture map command.
!CdTagAdd	Attach ID Tag to Entity	CdTagAdd	Attach an ID tag to an entity	Create an attribute tag and link it to a selected entity. The attribute symbol placed on the affected entity is the ID number. Select the entity and then specify a positive ID number.
!CdTagAdd2d	Attach ID Tag to Entity	CdTagAdd2d	Attach an ID tag to an entity	Create an attribute tag and link it to a selected entity. The attribute symbol placed on the affected entity is the ID number. Select the entity and then specify a positive ID number.
!CdTagDel	Delete ID Tag	CdTagDel	Delete ID tag	Delete an attribute tag created by the Attach ID Tag command. Select the entity that the ID attribute tag is attached to.
!CdTagDel2d	Delete ID Tag	CdTagDel2d	Delete ID tag	Delete an attribute tag created by the Attach ID Tag command. Select the entity that the ID attribute tag is attached to.
!CdTblAddUsrComp	Custom components		Add new custom components in the specified BOM table.	
!CdTblAdjBln	Modify Table Balloon	CdTblAdjBln	Adjust balloon locations for a table	Modify a BOM balloon location as a whole or modify a balloon dimension&apos;s arrow and text respectively.
!CdTblAtEntSet	Attributes	CdTblAtEntSet	Edit table attributes	
!CdTblCellModTol	Modify Cell Tolerance	CdTblCellModTol	Modify dimension tolerance	Modify the tolerance displayed for a hole coordination in a table cell. Select the tolerance type icon and enter the tolerance value.
!CdTblEdit	Edit	CdTblEdit	Edit Table	
!CdTblExport	Export Table	CdTblExport	Export table	
!CdTblImport	Import Table	CdTblImport	Import a user table	
!CdTblInsert	Insert Table	CdTblInsert	Insert a table	
!CdTblRegen	Regen	CdTblRegen	Regen Table	
!CdTblRegenAll	Regen All Tables	CdTblRegenAll	Regen all tables	
!CdTblRowHiByBln	Navigate to table row		Navigate to the corresponding table row.	
!CdTblSyncAttr	Sync BOM Table with Part Attributes	CdTblSyncAttr	Sync BoM table attributes with part attributes	
!CdTblTplSave	Save as Template...		Save the specified table as the table template.	
!CdTblUsrCrt	User Table	CdTblUsrCrt	Create a user table	
