comando	label_ribbon	form_dialogo	hint	descrizione
ID_!CdSmdFold	Sheet Metal			
ID_!CdSmdHem	Sheet Metal			
ID_!CdSmdJog	Sheet Metal			
ID_!CdSmdJointFlange	Sheet Metal			
ID_!CdSmdLftdFlng2	Sheet Metal			
ID_!CdSmdLnUnfold	Sheet Metal			
ID_!CdSmdMergeFlange	Sheet Metal			
ID_!CdSmdPartFlng	Sheet Metal			
ID_!CdSmdRip	Sheet Metal			
ID_!CdSmdSwpFlg	Sheet Metal			
ID_!CdSmdUnFold	Sheet Metal			
ID_!CdSmdVent	Sheet Metal			
ID_!CdSmtMsr	Inquire			
ID_!CdSplitBlock	Point Cloud			
ID_!CdSrfAnalz2	Inquire			
ID_!CdSrfAngSrf2	Free Form			
ID_!CdSymImgCrt	Sketch			
ID_!CdSymMarkCrt	Dimension			
ID_!CdSymSrfCrt	Dimension			
ID_!CdTblEdit	Layout			
ID_!CdTblInsert	Layout			
ID_!CdTblSyncAttr	Layout			
ID_!CdTblUsrCrt	Layout			
ID_!CdTextFtr	PMI			
ID_!CdThinPntArray	Point Cloud			
ID_!CdThkAnalz	Inquire			
ID_!CdTolColor	Tools			
ID_!CdTraceRegion	Point Cloud			
ID_!CdTraceShpEdge	Point Cloud			
ID_!CdTraceSilhou	Point Cloud			
ID_!CdTrimBlock	Point Cloud			
ID_!CdTssltSctDat	Point Cloud			
ID_!CdUndercut	Inquire			
ID_!CdV3AlterPos	Layout			
ID_!CdV3Auto2	Layout			
ID_!CdV3BrkLine	Layout			
ID_!CdV3BrkSect	Layout			
ID_!CdV3Detail	Layout			
ID_!CdV3InsAux	Layout			
ID_!CdV3InsPrj	Layout			
ID_!CdV3RedefDet	Layout			
ID_!CdV3RedefSec	Layout			
ID_!CdV3SetPart	Layout			
ID_!CdVFaceAppAt	Visualize			
ID_!CdVFaceAppCpy	Visualize			
ID_!CdViewRotate	Layout			
ID_!CdVuAxis	Visualize			
ID_!CdVuPnt	Visualize			
ID_!CdVuPntReset	Visualize			
ID_!CdWdSegTblCrt	Layout			
ID_!CdWeldBeads	Weldments			
ID_!CdWeldEndCap	Weldments			
ID_!CdWeldGusset	Weldments			
ID_!CdWeldStruct	Weldments			
ID_!CdWeldTblCrt	Layout			
ID_!CdWeldTrim	Weldments			
ID_!CdWireText	Wireframe			
ID_!CdWrCircles	Wireframe			
ID_!CdWrap	Data Exchange			
ID_!CmDelSk	Setup			
ID_!CmQmSrvCfg	3x Quick			
ID_!CmTpathDivide	Tool Path Editor			
ID_!CmTpathTrim	Tool Path Editor			
ID_!CmWatcher	Inquire			
ID_!DmAll3D	Sketch			
