funzione	header	riga	deprecated	firma
ZwCamOpNestAddPolys	zwapi_cm_nester.h	41		ezwErrors ZwCamOpNestAddPolys(int polyRegNum, const szwCamNestRegion *polyRegs)
ZwCamOpNestInit	zwapi_cm_nester.h	35		ezwErrors ZwCamOpNestInit(ezwCmNestQualityEnum qaEnum, double tol = 0.01)
ZwCamOpObjGet	zwapi_cm_op_param.h	40		ezwErrors ZwCamOpObjGet(int idx_Op, ezwCamOpParam param, void *obj_ptr)
ZwCamOpObjSet	zwapi_cm_op_param.h	28		ezwErrors ZwCamOpObjSet(int idx_Op, ezwCamOpParam param, void *obj_ptr)
ZwCamOpSaveToXml	zwapi_cm_op.h	238		ezwErrors ZwCamOpSaveToXml(int idx_op, const char *xmlPath)
ZwCamOpSetFolder	zwapi_cm_op.h	231		ezwErrors ZwCamOpSetFolder(int idx_op, int idx_folder)
ZwCamOpStrGet	zwapi_cm_op_param.h	37		ezwErrors ZwCamOpStrGet(int idx_Op, ezwCamOpParam param, char *str, int strSize)
ZwCamOpStrSet	zwapi_cm_op_param.h	25		ezwErrors ZwCamOpStrSet(int idx_Op, ezwCamOpParam param, const char *str)
ZwCamOutputStationGet	zwapi_cm_forms.h	125		ezwErrors ZwCamOutputStationGet(int idxNc, int *checkState)
ZwCamOutputStationInfoAdd	zwapi_cm_forms.h	127		ezwErrors ZwCamOutputStationInfoAdd(int idxNc, const char *frameText)
ZwCamOutputStationInfoDelete	zwapi_cm_forms.h	129		ezwErrors ZwCamOutputStationInfoDelete(int idxNc, int delRow)
ZwCamOutputStationInfoGet	zwapi_cm_forms.h	135		ezwErrors ZwCamOutputStationInfoGet(int idxNc, int rowIdx, char *frameText, int textSize)
ZwCamOutputStationInfoListGet	zwapi_cm_forms.h	138		ezwErrors ZwCamOutputStationInfoListGet(int idxNc, int *infoLen, char ***list)
ZwCamOutputStationInfoModify	zwapi_cm_forms.h	132		ezwErrors ZwCamOutputStationInfoModify(int idxNc, int modifyRow, const char *frameText)
ZwCamOutputStationOutputDataGet	zwapi_cm_forms.h	142		ezwErrors ZwCamOutputStationOutputDataGet(int idxNc, szwCamOutStationOutputData *outputData)
ZwCamOutputStationOutputDataSet	zwapi_cm_forms.h	140		ezwErrors ZwCamOutputStationOutputDataSet(int idxNc, szwCamOutStationOutputData outputData)
ZwCamOutputStationSet	zwapi_cm_forms.h	118		ezwErrors ZwCamOutputStationSet(int idxNc, int checkState)
ZwCamPntPreview	zwapi_cm_forms.h	145		ezwErrors ZwCamPntPreview(int iPntCnt, const szwPoint *zPntArr, svxWireAt zPointAt, void *ohEcho)
ZwCamPointOnEntityCheck	zwapi_cm_query.h	122		ezwErrors ZwCamPointOnEntityCheck(svxEntPath entity, szwPoint point, ezwPointLocation *pointLocation)
ZwCamProfElementDataGet	zwapi_cm_ftr.h	274	@deprecated	ezwErrors ZwCamProfElementDataGet(int feat_idx, int element_idx, double *offset, double *draft, evxCmProfileTolLoc *tolloc)
ZwCamProfElementDataSet	zwapi_cm_ftr.h	277	@deprecated	ezwErrors ZwCamProfElementDataSet(int prof_idx, int curve_idx, double newOffset, double newDraft, evxCmProfileTolLoc tolloc)
ZwCamProfFeatAdd	zwapi_cm_ftr.h	264		ezwErrors ZwCamProfFeatAdd(int ftrgrpIdx, int curveCnt, szwEntityHandle *curveEntList, int *featIdx)
ZwCamProfFeatAutoGroupAdd	zwapi_cm_ftr.h	267		ezwErrors ZwCamProfFeatAutoGroupAdd(int ftrgrpIdx, int curveCnt, szwEntityHandle *curveEntList, int *featCnt, int **featIdx)
ZwCamProfFeatDataGet	zwapi_cm_ftr.h	258		ezwErrors ZwCamProfFeatDataGet(int feat_idx, szwCamFtrProfileAttr *profAttr)
ZwCamProfFeatDataSet	zwapi_cm_ftr.h	261		ezwErrors ZwCamProfFeatDataSet(int feat_idx, const szwCamFtrProfileAttr *profAttr)
